Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
Q9NPF2,CHSTB_HUMAN,Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1),CHST11,Homo sapiens (Human),GO:0000139; GO:0001537; GO:0001701; GO:0002063; GO:0007585; GO:0008146; GO:0009791; GO:0016020; GO:0016021; GO:0016051; GO:0030166; GO:0030206; GO:0030512; GO:0033037; GO:0036342; GO:0042127; GO:0042733; GO:0043066; GO:0047756; GO:0048589; GO:0048703; GO:0050659
O18728,FSCN2_BOVIN,Fascin-2 (Retinal fascin),FSCN2,Bos taurus (Bovine),GO:0003779; GO:0005737; GO:0007163; GO:0015629; GO:0016477; GO:0030036; GO:0030674; GO:0032420; GO:0042462; GO:0051015; GO:0051017
Q24524,SING_DROME,Protein singed,sn CG1536,Drosophila melanogaster (Fruit fly),GO:0003779; GO:0005737; GO:0007163; GO:0008407; GO:0009913; GO:0015629; GO:0016358; GO:0016477; GO:0030034; GO:0030036; GO:0030674; GO:0035017; GO:0035099; GO:0035317; GO:0042060; GO:0043005; GO:0043025; GO:0046847; GO:0048477; GO:0048800; GO:0048812; GO:0051015; GO:0051017
Q6P8I6,COX11_MOUSE,"Cytochrome c oxidase assembly protein COX11, mitochondrial",Cox11,Mus musculus (Mouse),GO:0005507; GO:0005739; GO:0031305; GO:0032991; GO:0033132; GO:0055065
P55039,DRG2_HUMAN,Developmentally-regulated GTP-binding protein 2 (DRG-2) (Translation factor GTPase DRG2) (TRAFAC GTPase DRG2) (EC 3.6.5.-),DRG2,Homo sapiens (Human),GO:0002181; GO:0003723; GO:0003924; GO:0005525; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0007165; GO:0016020; GO:0043231; GO:0046872
Q8VIJ8,NPRL3_MOUSE,GATOR complex protein NPRL3 (Nitrogen permease regulator 3-like protein),Nprl3 Mare,Mus musculus (Mouse),GO:0003281; GO:0005096; GO:0005765; GO:0032007; GO:0034198; GO:0035909; GO:0038202; GO:0048738; GO:0060021; GO:1990130; GO:2000785
Q9NR30,DDX21_HUMAN,Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu),DDX21,Homo sapiens (Human),GO:0001649; GO:0002735; GO:0003723; GO:0003724; GO:0003725; GO:0005524; GO:0005654; GO:0005730; GO:0005739; GO:0005829; GO:0006364; GO:0006366; GO:0016020; GO:0019843; GO:0030515; GO:0035198; GO:0042802; GO:0043123; GO:0043330; GO:0045087; GO:0045815; GO:0051607; GO:0097322
P14316,IRF2_HUMAN,Interferon regulatory factor 2 (IRF-2),IRF2,Homo sapiens (Human),GO:0000122; GO:0000790; GO:0000977; GO:0000981; GO:0001228; GO:0002376; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0005925; GO:0006355; GO:0007596; GO:0008283; GO:0045944; GO:0051607; GO:0060333; GO:0060337
Q98925,IRF2_CHICK,Interferon regulatory factor 2 (IRF-2),IRF2,Gallus gallus (Chicken),GO:0000981; GO:0002376; GO:0005634; GO:0008283; GO:0044212
Q8TBP0,TBC16_HUMAN,TBC1 domain family member 16,TBC1D16,Homo sapiens (Human),GO:0001919; GO:0005096; GO:0005769; GO:0005829; GO:0006886; GO:0017137; GO:0090630
Q4G0X9,CCD40_HUMAN,Coiled-coil domain-containing protein 40,CCDC40 KIAA1640,Homo sapiens (Human),GO:0001947; GO:0003341; GO:0003351; GO:0003356; GO:0005576; GO:0005737; GO:0005929; GO:0005930; GO:0030317; GO:0030324; GO:0035469; GO:0036159; GO:0044458; GO:0060271; GO:0060287; GO:0070286; GO:0071907; GO:0071910
Q7T0L6,CCNF_XENLA,Cyclin-F,ccnf,Xenopus laevis (African clawed frog),GO:0005634; GO:0005737; GO:0005814; GO:0007049; GO:0010826; GO:0016567; GO:0019005; GO:0031146; GO:0051301
Q5HZL1,ERI2_XENLA,ERI1 exoribonuclease 2 (EC 3.1.-.-) (Exonuclease domain-containing protein 1),eri2 exod1,Xenopus laevis (African clawed frog),GO:0003676; GO:0004527; GO:0008270
A8K979,ERI2_HUMAN,ERI1 exoribonuclease 2 (EC 3.1.-.-) (Exonuclease domain-containing protein 1),ERI2 EXOD1 KIAA1504,Homo sapiens (Human),GO:0000175; GO:0003676; GO:0008270; GO:0008310
B6CJY5,TRAF6_MACMU,TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6),TRAF6,Macaca mulatta (Rhesus macaque),GO:0000122; GO:0001503; GO:0001701; GO:0001843; GO:0002726; GO:0004842; GO:0005164; GO:0005634; GO:0005811; GO:0005829; GO:0005938; GO:0006974; GO:0007249; GO:0007250; GO:0008270; GO:0009898; GO:0019886; GO:0030316; GO:0031435; GO:0031624; GO:0031625; GO:0031666; GO:0031996; GO:0032743; GO:0032991; GO:0035631; GO:0042088; GO:0042102; GO:0042475; GO:0042802; GO:0042826; GO:0042981; GO:0043011; GO:0043123; GO:0043422; GO:0043507; GO:0045084; GO:0045410; GO:0045453; GO:0045672; GO:0045944; GO:0047485; GO:0048468; GO:0048471; GO:0050852; GO:0051023; GO:0051092; GO:0051865; GO:0061630; GO:0070498; GO:0070534; GO:0071222; GO:1904996; GO:2000679
A0JP70,WDR90_XENTR,WD repeat-containing protein 90,wdr90,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),GO:0005737; GO:0005814; GO:0008017; GO:0060271
A1X158,FP1V1_PERVI,Foot protein 1 variant 1,fp-1,Perna viridis (Asian green mussel) (Mytilus viridis),GO:0005576
P20072,ANXA7_BOVIN,Annexin A7 (Annexin VII) (Annexin-7) (Synexin),ANXA7 ANX7,Bos taurus (Bovine),GO:0005178; GO:0005509; GO:0005544; GO:0005623; GO:0005634; GO:0006874; GO:0030855; GO:0042584; GO:0042802; GO:0048306; GO:0051592
Q4TVV3,DDX46_DANRE,Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46),ddx46,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0000398; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0007420; GO:0015030; GO:0016607; GO:0031017; GO:0045621; GO:0045648; GO:0048546; GO:0060216; GO:0072576; GO:1902038
Q9CY66,GAR1_MOUSE,H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1),Gar1 Nola1,Mus musculus (Mouse),GO:0000454; GO:0000784; GO:0001650; GO:0001651; GO:0005697; GO:0007004; GO:0015030; GO:0030515; GO:0031429; GO:0034513; GO:0070034; GO:0090661
Q5RBD5,IVD_PONAB,"Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4)",IVD,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0005759; GO:0006552; GO:0008470; GO:0050660
Q6GR34,CP52A_XENLA,Uncharacterized protein C16orf52 homolog A,,Xenopus laevis (African clawed frog),
O43808,PM34_HUMAN,Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17),SLC25A17 PMP34,Homo sapiens (Human),GO:0000295; GO:0001561; GO:0005347; GO:0005777; GO:0005778; GO:0005779; GO:0006635; GO:0015217; GO:0015228; GO:0015230; GO:0015867; GO:0015908; GO:0016020; GO:0044610; GO:0051087; GO:0051724; GO:0080122
O77460,IPYR_DROME,Inorganic pyrophosphatase (EC 3.6.1.1) (Nucleosome-remodeling factor 38 kDa subunit) (Pyrophosphate phospho-hydrolase) (PPase),Nurf-38 CG4634,Drosophila melanogaster (Fruit fly),GO:0000287; GO:0004427; GO:0005634; GO:0005737; GO:0006338; GO:0006351; GO:0006796; GO:0016589; GO:0035076; GO:0035206; GO:0042766
P91943,PANG1_DROME,"Protein pangolin, isoforms A/H/I/S (dTCF)",pan TCF CG34403,Drosophila melanogaster (Fruit fly),GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0006355; GO:0006357; GO:0007367; GO:0007435; GO:0007476; GO:0007500; GO:0007507; GO:0008013; GO:0009880; GO:0010628; GO:0016055; GO:0019900; GO:0035277; GO:0043565; GO:0044212; GO:0045892; GO:0045893; GO:0045944; GO:0060070; GO:0070491; GO:0072091
Q149M9,NWD1_HUMAN,NACHT domain- and WD repeat-containing protein 1,NWD1,Homo sapiens (Human),GO:0005524; GO:0005829; GO:0010628; GO:0032088
Q9QZD8,DIC_MOUSE,Mitochondrial dicarboxylate carrier (Solute carrier family 25 member 10),Slc25a10 Dic,Mus musculus (Mouse),GO:0005654; GO:0005739; GO:0005743; GO:0006817; GO:0006839; GO:0008272; GO:0015114; GO:0015116; GO:0015117; GO:0015131; GO:0015140; GO:0015141; GO:0015291; GO:0015297; GO:0015709; GO:0015729; GO:0015743; GO:0015744; GO:0016021; GO:0035435; GO:0071422; GO:0071423
Q8BFR2,FSTL5_MOUSE,Follistatin-related protein 5 (Follistatin-like protein 5) (m-D/Bsp120I 1-2),Fstl5 Kiaa1263,Mus musculus (Mouse),GO:0005509; GO:0005576; GO:0007275; GO:0030154
Q6TFL4,KLH24_HUMAN,Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1),KLHL24 DRE1,Homo sapiens (Human),GO:0005737; GO:0005912; GO:0016567; GO:0030057; GO:0030424; GO:0031463; GO:0043204; GO:0045109; GO:0051865; GO:2000312
Q0P5N6,ARL16_HUMAN,ADP-ribosylation factor-like protein 16,ARL16,Homo sapiens (Human),GO:0005525
Q95LS7,CCD96_MACFA,Coiled-coil domain-containing protein 96,CCDC96 QtsA-18831,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),GO:0005737; GO:0005815
Q54HX8,CDIP1_DICDI,Cell death-inducing p53-target protein 1 homolog (Protein LITAF homolog),litaf DDB_G0289149,Dictyostelium discoideum (Slime mold),GO:0005765; GO:0031902; GO:0046872
Q804H7,BI52B_XENLA,Baculoviral IAP repeat-containing protein 5.2-B (Survivin in Xenopus) (SIX) (Survivin2-B) (XSurvivin2B),birc5.2-b six,Xenopus laevis (African clawed frog),GO:0000777; GO:0001944; GO:0005634; GO:0005737; GO:0005819; GO:0006468; GO:0007049; GO:0007059; GO:0030496; GO:0032133; GO:0043066; GO:0045892; GO:0046872; GO:0046965; GO:0051301
Q9ES39,NDE1_RAT,Nuclear distribution protein nudE homolog 1 (NudE) (rNudE),Nde1 Nude Nude1,Rattus norvegicus (Rat),GO:0000132; GO:0000776; GO:0000777; GO:0001764; GO:0005623; GO:0005737; GO:0005813; GO:0005815; GO:0005819; GO:0005871; GO:0005874; GO:0007020; GO:0007059; GO:0007100; GO:0007405; GO:0008017; GO:0016477; GO:0019904; GO:0021987; GO:0030900; GO:0031023; GO:0031616; GO:0032154; GO:0042802; GO:0045202; GO:0047496; GO:0051298; GO:0051301; GO:0051303; GO:0051642; GO:2000574
Q27128,PAPSS_URECA,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase (PAPS synthase) (PAPSS) (Sulfurylase kinase) (SK) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)],,Urechis caupo (Innkeeper worm) (Spoonworm),GO:0000103; GO:0004020; GO:0004781; GO:0005524; GO:0016779
Q58CS8,GNPTG_BOVIN,N-acetylglucosamine-1-phosphotransferase subunit gamma (GlcNAc-1-phosphotransferase subunit gamma) (UDP-N-acetylglucosamine-1-phosphotransferase subunit gamma),GNPTG,Bos taurus (Bovine),GO:0005576; GO:0005794; GO:0042803; GO:0046835
Q9UJK0,TSR3_HUMAN,Ribosome biogenesis protein TSR3 homolog,TSR3 C16orf42 UND313L,Homo sapiens (Human),GO:0000154; GO:0005829; GO:0016740; GO:0030490
O18783,PLMN_MACEU,"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]",PLG,Macropus eugenii (Tammar wallaby) (Notamacropus eugenii),GO:0004252; GO:0005576; GO:0007596; GO:0042730; GO:0048771
Q9BZE9,ASPC1_HUMAN,Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein) (Alveolar soft part sarcoma locus) (Renal papillary cell carcinoma protein 17) (UBX domain-containing protein 9),ASPSCR1 ASPL RCC17 TUG UBXD9 UBXN9,Homo sapiens (Human),GO:0005654; GO:0005829; GO:0005886; GO:0006886; GO:0009898; GO:0012505; GO:0012506; GO:0019898; GO:0031401; GO:0033116; GO:0042593; GO:0043231; GO:0046324; GO:0048471
Q0P4F7,ACSF2_DANRE,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)",acsf2 zgc:152887,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005524; GO:0005739; GO:0006631; GO:0031956; GO:0047760
Q8N6F8,MET27_HUMAN,Methyltransferase-like protein 27 (Williams-Beuren syndrome chromosomal region 27 protein),METTL27 WBSCR27,Homo sapiens (Human),
Q8R0K4,CC137_MOUSE,Coiled-coil domain-containing protein 137,Ccdc137,Mus musculus (Mouse),GO:0001650; GO:0005694; GO:0005730
P02257,H1_ECHCR,"Histone H1, gonadal (Fragment)",,Echinolampas crassa (Sea urchin) (Palaeolampas crassa),GO:0000786; GO:0003677; GO:0005634; GO:0006334
Q8R035,ICT1_MOUSE,"Peptidyl-tRNA hydrolase ICT1, mitochondrial (EC 3.1.1.29) (39S ribosomal protein L58, mitochondrial) (MRP-L58) (Immature colon carcinoma transcript 1 protein homolog)",Mrpl58 Ict1,Mus musculus (Mouse),GO:0004045; GO:0005739; GO:0005762; GO:0016150; GO:0070126
P51958,CDK1_CARAU,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),cdk1 cdc2,Carassius auratus (Goldfish),GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0005815; GO:0007049; GO:0008353; GO:0051301
Q13045,FLII_HUMAN,Protein flightless-1 homolog,FLII FLIL,Homo sapiens (Human),GO:0003779; GO:0005654; GO:0005829; GO:0005903; GO:0005925; GO:0007275; GO:0030036; GO:0034451; GO:0051014; GO:0051015
Q9NWF9,RN216_HUMAN,E3 ubiquitin-protein ligase RNF216 (EC 2.3.2.27) (RING finger protein 216) (RING-type E3 ubiquitin transferase RNF216) (Triad domain-containing protein 3) (Ubiquitin-conjugating enzyme 7-interacting protein 1) (Zinc finger protein inhibiting NF-kappa-B),RNF216 TRIAD3 UBCE7IP1 ZIN,Homo sapiens (Human),GO:0005634; GO:0005654; GO:0005829; GO:0006915; GO:0016032; GO:0032480; GO:0032648; GO:0043161; GO:0046872; GO:0050691; GO:0061630; GO:0070936; GO:0098685; GO:0098843; GO:0098978; GO:0099546
Q91YE8,SYNP2_MOUSE,Synaptopodin-2 (Myopodin),Synpo2,Mus musculus (Mouse),GO:0000045; GO:0001725; GO:0003779; GO:0005634; GO:0005654; GO:0005829; GO:0005925; GO:0015629; GO:0030018; GO:0030335; GO:0030674; GO:0031005; GO:0032233; GO:0043231; GO:0051371; GO:0051393; GO:0061684; GO:0071889; GO:2000298
Q62417,SRBS1_MOUSE,Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP),Sorbs1 Kiaa1296 Sh3d5,Mus musculus (Mouse),GO:0001725; GO:0005070; GO:0005158; GO:0005634; GO:0005813; GO:0005829; GO:0005856; GO:0005886; GO:0005899; GO:0005913; GO:0005924; GO:0005925; GO:0008134; GO:0008286; GO:0016020; GO:0016363; GO:0019901; GO:0031625; GO:0032869; GO:0043149; GO:0045121; GO:0045202; GO:0045725; GO:0046326; GO:0046628; GO:0046889; GO:0048041; GO:0095500; GO:1903078; GO:1904393
Q9PU47,PDLI3_CHICK,PDZ and LIM domain protein 3 (Alpha-actinin-associated LIM protein),PDLIM3 ALP,Gallus gallus (Chicken),GO:0001725; GO:0003779; GO:0005623; GO:0005913; GO:0005925; GO:0007507; GO:0015629; GO:0030018; GO:0030027; GO:0030036; GO:0031941; GO:0046872; GO:0051371; GO:0051393; GO:0061061
Q5PPZ9,GDS1B_XENLA,Rap1 GTPase-GDP dissociation stimulator 1-B (Rap1gds1-B protein) (RalB-binding protein B) (XsmgGDS-B) (smgGDS-B),rap1gds1-b,Xenopus laevis (African clawed frog),GO:0005096; GO:0005737; GO:0005856; GO:0007264; GO:0017160; GO:0043547
Q8VBX0,ASB13_MOUSE,Ankyrin repeat and SOCS box protein 13 (ASB-13),Asb13,Mus musculus (Mouse),GO:0016567; GO:0035556
P81004,VDAC2_XENLA,Voltage-dependent anion-selective channel protein 2 (VDAC-2) (Outer mitochondrial membrane protein porin),vdac2,Xenopus laevis (African clawed frog),GO:0000166; GO:0005741; GO:0008308; GO:0015288; GO:0046930
Q96LT4,SAMD8_HUMAN,Sphingomyelin synthase-related protein 1 (SMSr) (EC 2.7.8.-) (Ceramide phosphoethanolamine synthase) (CPE synthase) (Sterile alpha motif domain-containing protein 8) (SAM domain-containing protein 8),SAMD8,Homo sapiens (Human),GO:0002950; GO:0005783; GO:0005789; GO:0005829; GO:0005887; GO:0006686; GO:0016021; GO:0030148; GO:0030173; GO:0030176; GO:0033188; GO:0046513; GO:0047493; GO:1905373; GO:2000303
Q6IVV8,PKD2_DANRE,Polycystin-2 (Curly up) (Cup) (Polycystic kidney disease 2 protein homolog) (Transient receptor potential cation channel subfamily P member 2),pkd2,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0001822; GO:0001946; GO:0001947; GO:0003143; GO:0003146; GO:0003171; GO:0005102; GO:0005245; GO:0005248; GO:0005261; GO:0005262; GO:0005267; GO:0005509; GO:0005623; GO:0005783; GO:0005856; GO:0005887; GO:0005929; GO:0007368; GO:0007507; GO:0009953; GO:0010882; GO:0015271; GO:0016020; GO:0016055; GO:0016323; GO:0016324; GO:0016328; GO:0030017; GO:0030659; GO:0032965; GO:0033017; GO:0034703; GO:0034765; GO:0042383; GO:0048793; GO:0050982; GO:0051209; GO:0051262; GO:0051284; GO:0051290; GO:0051371; GO:0061371; GO:0070121; GO:0070588; GO:0071277; GO:0071805; GO:0072019; GO:0072114; GO:0097704; GO:0098662; GO:0198738
Q68F72,S15A4_XENLA,Solute carrier family 15 member 4 (Peptide transporter 4),slc15a4,Xenopus laevis (African clawed frog),GO:0006857; GO:0015031; GO:0015293; GO:0016021
F1MJR8,TEX14_BOVIN,Inactive serine/threonine-protein kinase TEX14 (Testis-expressed sequence 14) (Testis-expressed sequence 14 protein),TEX14,Bos taurus (Bovine),GO:0000776; GO:0000777; GO:0004672; GO:0005524; GO:0005623; GO:0005737; GO:0007094; GO:0007140; GO:0008608; GO:0019901; GO:0030496; GO:0032091; GO:0032466; GO:0043063; GO:0045171; GO:0051301; GO:0051306; GO:1990830
Q20065,P4HA2_CAEEL,"Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)",phy-2 F35G2.4,Caenorhabditis elegans,GO:0004656; GO:0005506; GO:0005783; GO:0005788; GO:0016702; GO:0018401; GO:0031418; GO:0031545; GO:0043412; GO:0055114
Q5PQN1,HERC4_RAT,Probable E3 ubiquitin-protein ligase HERC4 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 4) (HECT-type E3 ubiquitin transferase HERC4),Herc4,Rattus norvegicus (Rat),GO:0001650; GO:0004842; GO:0005829; GO:0007283; GO:0030154
P29506,UNC4_CAEEL,Homeobox protein unc-4 (Homeobox protein ceh-4) (Uncoordinated protein 4),unc-4 ceh-4 F26C11.2,Caenorhabditis elegans,GO:0000977; GO:0000981; GO:0003700; GO:0005623; GO:0005634; GO:0006355; GO:0007400; GO:0007416; GO:0008039; GO:0030424; GO:0040011; GO:0048489; GO:0050770; GO:0050803
O08934,UNC4_MOUSE,Homeobox protein unc-4 homolog (Homeobox protein Uncx4.1),Uncx Uncx4.1,Mus musculus (Mouse),GO:0001502; GO:0005634; GO:0006355; GO:0007389; GO:0010468; GO:0021516; GO:0021889; GO:0035726; GO:0043565; GO:0045595
Q14114,LRP8_HUMAN,Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2),LRP8 APOER2,Homo sapiens (Human),GO:0001523; GO:0004888; GO:0005041; GO:0005509; GO:0005576; GO:0005875; GO:0005886; GO:0005901; GO:0006508; GO:0006629; GO:0006897; GO:0007165; GO:0008035; GO:0014069; GO:0016020; GO:0016021; GO:0019221; GO:0019894; GO:0021541; GO:0021987; GO:0030229; GO:0030424; GO:0030425; GO:0032793; GO:0034185; GO:0038024; GO:0038025; GO:0038026; GO:0042493; GO:0042981; GO:0043025; GO:0043235; GO:0045088; GO:0050731; GO:0050804; GO:0061003; GO:0061098; GO:0071363; GO:0071397; GO:1900006
Q7T2E3,KC1DA_DANRE,Casein kinase I isoform delta-A (CKI-delta-A) (CKId-A) (EC 2.7.11.1) (Casein kinase I isoform delta-like),csnk1da csnk1dl si:ch211-234h8.6,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005876; GO:0016055; GO:0018105; GO:0032436; GO:0042752; GO:0051225; GO:0090263; GO:1905515
Q5BP74,KC1D_XENLA,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1),csnk1d,Xenopus laevis (African clawed frog),GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0016055
Q3UNX5,ACSM3_MOUSE,"Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (Propionate--CoA ligase) (EC 6.2.1.17) (Protein SA homolog)",Acsm3 Sa Sah,Mus musculus (Mouse),GO:0003996; GO:0004321; GO:0005524; GO:0005739; GO:0005759; GO:0006633; GO:0006637; GO:0015645; GO:0018729; GO:0046872; GO:0047760; GO:0050218
G5EFC3,KCNAG_CAEEL,Potassium voltage-gated channel protein egl-36 (Egg-laying defective protein 36),egl-36 R07A4.1,Caenorhabditis elegans,GO:0005244; GO:0005249; GO:0005251; GO:0008076; GO:0016021; GO:0030424; GO:0032590; GO:0032809; GO:0034220; GO:0034765; GO:0043025; GO:0051260; GO:0071805
C0SPB0,YTCI_BACSU,Uncharacterized acyl--CoA ligase YtcI (EC 6.2.1.-),ytcI BSU29560,Bacillus subtilis (strain 168),GO:0003996; GO:0004321; GO:0005524; GO:0006633; GO:0006637; GO:0015645
P99177,CSD_STAAN,Probable cysteine desulfurase (EC 2.8.1.7),csd SA0776,Staphylococcus aureus (strain N315),GO:0006534; GO:0030170; GO:0031071
Q6NUZ2,TTY2L_DANRE,Protein tweety homolog 2-like,ttyh2l zgc:85736,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005229; GO:0005886; GO:0034707; GO:0072320
Q5E9X2,MP2K6_BOVIN,Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6),MAP2K6,Bos taurus (Bovine),GO:0000187; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0006915; GO:0019901; GO:0023014; GO:0032147; GO:0060048; GO:0120163
Q0P5N1,CNPY3_BOVIN,Protein canopy homolog 3,CNPY3,Bos taurus (Bovine),GO:0005102; GO:0005783; GO:0045087
A0A1L8EXB5,AR1AB_XENLA,Actin-related protein 2/3 complex subunit 1A-B,arpc1a-b XELAEV_18045070mg,Xenopus laevis (African clawed frog),GO:0003779; GO:0005634; GO:0005737; GO:0005885; GO:0034314; GO:0035861
O00418,EF2K_HUMAN,Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase),EEF2K,Homo sapiens (Human),GO:0002931; GO:0004672; GO:0004686; GO:0005509; GO:0005516; GO:0005524; GO:0005737; GO:0005829; GO:0006414; GO:0008135; GO:0014069; GO:0031952; GO:0032869; GO:0043066; GO:0043197; GO:0045807; GO:0046777; GO:0051965; GO:0061003; GO:0071277; GO:0071320; GO:0071454; GO:1990416; GO:1990637
B2RS91,RRN3_MOUSE,RNA polymerase I-specific transcription initiation factor RRN3,Rrn3,Mus musculus (Mouse),GO:0001042; GO:0001164; GO:0001181; GO:0001701; GO:0005634; GO:0005730; GO:0006352; GO:0006361; GO:0007000; GO:0007028; GO:0008283; GO:0010976; GO:0042254; GO:0045893; GO:0048872; GO:0070063; GO:1902254; GO:2000142
Q4R495,MFS11_MACFA,UNC93-like protein MFSD11 (Major facilitator superfamily domain-containing protein 11),MFSD11 QtsA-11525,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),GO:0016021
Q15424,SAFB1_HUMAN,Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein),SAFB HAP HET SAFB1,Homo sapiens (Human),GO:0000978; GO:0003682; GO:0003690; GO:0003723; GO:0005634; GO:0005654; GO:0006325; GO:0006357; GO:0030520; GO:0040008; GO:0042445; GO:0043565; GO:0045944; GO:0050684
